1．（2017•安徽）12的相反数是（　　）A．12B．-12C．2 D．-2难度：0.81真题：71组卷：723
775．（2014秋•东西湖区校级月考）下列各组数：①0.25与-14；②3.14与-π；③-（-3）和-|-3|；④+（+1）与-1；⑤-（-2）与+（-2）；⑥-（-1）和|-1|，其中互为相反数的有（　　）A．1对 B．2对 C．3对 D．4对难度：0.73真题：1组卷：45
776．（2014秋•阳谷县校级月考）下列说法错误的是（　　）A．0的相反数是0B．正数的相反数是负数C．一个数的相反数必是正数D．互为相反数的两个数到原点的距离相等难度：0.73真题：1组卷：17
777．（2014秋•赛罕区校级月考）在0.5和0.5，-0.3和0.3，0和0，-7和7中，互为相反数的对数有（　　）A．4对 B．3对 C．2对 D．1对难度：0.73真题：1组卷：60
778．（2014秋•东西湖区校级月考）下列说法中，正确的有（　　）（1）π的相反数是-3.14；（2）-0.5的相反数是12；（3）-（-3）的相反数是3；（4）互为相反数的两个数到原点的距离相等；（5）正数和负数互为相反数；（6）相反数等于它本身的数是0．A．1个 B．2个 C．3个 D．4个难度：0.73真题：1组卷：55
779．（2014秋•江都区月考）下列说法正确的个数是（　　）①0是绝对值最小的有理数          ②相反数小于本身的数是正数③数轴上原点两侧的数互为相反数    ④两个负数比较，绝对值大的反而小．A．1 B．2 C．3 D．4难度：0.71真题：1组卷：7
780．（2014秋•长沙校级月考）下列说法中不正确的是（　　）A．所有的有理数都有相反数B．数轴上和原点的距离相等的两个点所表示的数一定互为相反数C．正数和负数互为相反数D．在一个有理数前添一个“-”号，就得到它的相反数难度：0.68真题：1组卷：20
781．（2014秋•海南校级月考）下列选项中互为相反数的是（　　）A．0.2和2.0 B．-0.2和2.0 C．0.2和-15D．0.2和5难度：0.68真题：1组卷：33
782．（2014秋•蒙城县校级月考）下列各组数中互为相反数的一组是（　　）A．-（-8）与+（+8） B．-（+8）与-|-8| C．-22与（-2）2 D．-|-8|与+（-8）难度：0.68真题：1组卷：31
783．（2014春•诸城市月考）下列各组数中，互为相反数的是（　　）A．（-2）-3与23 B．（-2）-2与2-2 C．-33与（-13）3 D．（-3）-3与（13）3难度：0.60真题：1组卷：0
784．（2014秋•邢台校级月考）如果a与6互为相反数，那么-（-a）的值为（　　）A．6 B．-6 C．16D．-16难度：0.60真题：1组卷：2
785．（2014秋•福贡县校级月考）下列说法中正确的有（　　）①π的相反数是-3.14；②符号相反的数互为相反数；③一个数的相反数可能与它相等；④-（-3.8）的相反数是-3.8；⑤正数与负数互为相反数．A．1个 B．2个 C．3个 D．4个难度：0.54真题：1组卷：53
786．（2014秋•利津县校级月考）若a、b互为相反数，则①a+b=0；②a=-b；③|a|=|b|；④ab=-b2中必定成立的有（　　）A．1个 B．2个 C．3个 D．4个难度：0.53真题：1组卷：25
787．（2014秋•宁波校级月考）已知不为零的a，b两数互为相反数，则下列各数不是互为相反数的是（　　）A．5a与5b B．a5与b5C．1a与1bD．a2010与b2010难度：0.53真题：1组卷：50
788．（2014秋•东台市月考）下列各对数中，互为相反数的是（　　）A．-|-2|和+（-2） B．+（-6）和-（+6） C．（-4）3和-43 D．（-5）4和-54难度：0.53真题：1组卷：26
789．（2014秋•长沙校级月考）下列各对数中，不是相反数的是（　　）A．-5.2与-[+（-5.2）] B．-5与-（-5）C．-（-8）与-|-8| D．+（-3）与-[-（-3）]难度：0.49真题：1组卷：50
790．（2013•朝阳）-6的相反数是（　　）A．-6 B．-16C．16D．6难度：0.96真题：122组卷：60
791．（2013•襄阳）2的相反数是（　　）A．-2 B．2 C．12D．−12难度：0.97真题：119组卷：48
792．（2013•甘孜州）-3的相反数是（　　）A．−13B．13C．3 D．-3难度：0.98真题：113组卷：60
793．（2013•仙桃）-8的相反数是（　　）A．8 B．-8 C．18D．-18难度：0.97真题：109组卷：64
794．（2013•湘潭）-5的相反数是（　　）A．5 B．15C．-5 D．−15难度：0.99真题：105组卷：67
795．（2013•贺州）-3的相反数是（　　）A．-13B．13C．-3 D．3难度：0.96真题：83组卷：30
796．（2013•青岛）-6的相反数是（　　）A．-6 B．6 C．-16D．16难度：0.99真题：65组卷：45
797．（2013•莆田）2013的相反数是（　　）A．2013 B．-2013 C．12013D．-12013难度：0.98真题：63组卷：33
798．（2013•百色）-2013的相反数是（　　）A．-2013 B．2013 C．12013D．-12013难度：0.98真题：61组卷：41
799．（2013•攀枝花）-5的相反数是（　　）A．−15B．-5 C．15D．5难度：0.99真题：60组卷：47
800．（2013•毕节地区）-2的相反数是（　　）A．±2 B．2 C．-2 D．12难度：0.99真题：57组卷：43
801．（2013•六盘水）-2013相反数（　　）A．-2013 B．12013C．2013 D．-12013难度：0.98真题：56组卷：40
802．（2013•济南）-6的相反数是（　　）A．-16B．16C．-6 D．6难度：0.98真题：56组卷：36
803．（2013•呼伦贝尔）-5的相反数是（　　）A．5 B．-5 C．−15D．15难度：0.97真题：55组卷：89
804．（2013•凉山州）-2是2的（　　）A．相反数 B．倒数 C．绝对值 D．算术平方根难度：0.99真题：54组卷：71
805．（2013•义乌市）在2，-2，8，6这四个数中，互为相反数的是（　　）A．-2与2 B．2与8 C．-2与6 D．6与8难度：0.99真题：53组卷：102
806．（2013•鄂州）2013的相反数是（　　）A．−12013B．12013C．3102 D．-2013难度：0.97真题：52组卷：22
807．（2013•邵阳）-8的相反数是（　　）A．-8 B．18C．0.8 D．8难度：0.96真题：47组卷：22
808．（2013•辽阳）-2的相反数是（　　）A．-2 B．2 C．1 2 D．12难度：0.93真题：46组卷：24
809．（2013•丹东）-25的相反数是（　　）A．-52B．52C．25D．-25难度：0.85真题：46组卷：22
810．（2013•浙江一模）-2010的相反数是（　　）A．2010 B．-2010 C．12010D．−12010难度：0.98真题：10组卷：11
811．（2013•江宁区二模）-3的倒数的相反数是（　　）A．−13B．13C．-3 D．3难度：0.91真题：7组卷：18
812．（2013•工业园区二模）2013的相反数是（　　）A．12013B．-12013C．-2013 D．2013难度：0.82真题：6组卷：7
813．（2013•滕州市校级模拟）如果a与2互为相反数，则a的值为（　　）A．2 B．-2 C．12D．-12难度：0.92真题：5组卷：6
814．（2013•安庆二模）有理数2013的相反数是（　　）A．-2013 B．2013 C．-12013D．12013难度：0.92真题：5组卷：5
815．（2013•潮阳区模拟）|-13|的相反数是（　　）A．13B．-13C．-3 D．3难度：0.82真题：5组卷：4
816．（2013•大兴区一模）−12的倒数的相反数是（　　）A．2 B．-2 C．12D．−12难度：0.87真题：4组卷：24
817．（2013•东营模拟）3的倒数的相反数是（　　）A．-3 B．3 C．13D．−13难度：0.82真题：4组卷：10
818．（2013•眉山模拟）如果a的相反数是−13，那么a的值是（　　）A．-3 B．3 C．−13D．13难度：0.95真题：3组卷：29
819．（2013•江西模拟）|3|的相反数是（　　）A．-3 B．+3 C．0.3 D．13难度：0.92真题：3组卷：15
820．（2013•重庆模拟）-2的相反数是（　　）A．0 B．2 C．-2 D．4难度：0.82真题：3组卷：52
821．（2013•沈阳模拟）如果ab＝−1(b≠0)，那么a，b两个实数一定是（　　）A．一正一负 B．相等的数 C．互为相反数 D．互为倒数难度：0.80真题：3组卷：15
822．（2013•惠山区校级一模）1的相反数是（　　）A．0 B．1 C．-1 D．±1难度：0.92真题：2组卷：6
823．（2013•北京一模）若实数a与-3互为相反数，则a的值为（　　）A．13B．0.3 C．-3 D．3难度：0.92真题：2组卷：6
824．（2013•邻水县校级模拟）23的相反数是（　　）A．-23 B．23 C．−123D．123难度：0.88真题：2组卷：4
825．（2013•阳东县校级模拟）−34的相反数是（　　）A．−43B．43C．−34D．34难度：0.87真题：2组卷：8
826．（2013•湖南模拟）1.23×105的相反数是（　　）A．123000 B．1230000 C．-123000 D．-1230000难度：0.90真题：1组卷：11
827．（2013•遂宁模拟）已知a的相反数是−23，则a的值是（　　）A．−32B．32C．−23D．23难度：0.90真题：1组卷：4
828．（2013•怀集县二模）自然数6的相反数是（　　）A．-6 B．6 C．±6 D．16难度：0.90真题：1组卷：4
829．（2013•田阳县校级模拟）-4的相反数是（　　）A．2 B．4 C．-4 D．±4难度：0.82真题：1组卷：4
830．（2013•澄海区校级二模）2013的倒数的相反数是（　　）A．-2013 B．2013 C．−12013D．12013难度：0.82真题：1组卷：15
831．（2013•西华县校级模拟）|−15|的倒数的相反数是（　　）A．15B．−15C．-5 D．5难度：0.82真题：1组卷：7
832．（2013•射阳县校级二模）-12是（　　）A．2的相反数 B．12的相反数C．-2的相反数 D．-12的相反数难度：0.82真题：1组卷：6
833．（2013•金湾区模拟）如果a=-b，那么a，b两个实数一定是（　　）A．一正一负 B．相等的数 C．互为相反数 D．互为倒数难度：0.81真题：1组卷：17
834．（2013•建邺区一模）-（+2）的值是（　　）A．-2 B．2 C．±2 D．4难度：0.80真题：1组卷：11
835．（2013•锦州一模）16的相反数是（　　）A．6 B．-6 C．16D．-16难度：0.80真题：1组卷：4
836．（2013•柳州二模）0的相反数是（　　）A．0 B．1 C．-1 D．±1难度：0.80真题：1组卷：18
837．（2013•历下区一模）若x与y互为相反数，则x+y的值为（　　）A．0 B．1 C．-1 D．±1难度：0.80真题：1组卷：24
838．（2013•费县模拟）-25的相反数是（　　）A．-52B．-25C．52D．25难度：0.80真题：1组卷：6
839．（2013•贵阳模拟）相反数是2013的是（　　）A．2013 B．12013C．-2013 D．−12013难度：0.80真题：1组卷：4
840．（2012秋•金东区期末）下列各对数中，互为相反数的是（　　）A．−12和0.2 B．23和32C．-1.75和134D．2和-（-2）难度：0.92真题：21组卷：28
841．（2012秋•乐清市期末）-（-3）的相反数是（　　）A．3 B．-3 C．-13D．13难度：0.86真题：11组卷：7
842．（2013秋•高新区校级期末）下列说法不正确的是（　　）A．到原点距离相等且在原点两旁的两个点所表示的数一定互为相反数B．所有的有理数都有相反数C．正数和负数互为相反数D．在一个有理数前添加“-”号就得到它的相反数难度：0.82真题：11组卷：30
843．（2013秋•滨湖区校级期末）-a+2b-3c的相反数是（　　）A．a-2b+3c B．a-2b-3c C．a+2b-3c D．a+2b+3c难度：0.92真题：10组卷：17
844．（2013秋•蓝山县期末）下列各对数中，互为相反数的是（　　）A．12和0.2 B．23和32C．-1.75和+1.75 D．+2和-（-2）难度：0.82真题：3组卷：5
845．（2013秋•枣庄期末）如果a+b=0，那么a，b两个有理数一定是（　　）A．一正一负 B．互为倒数 C．互为相反数 D．无法确定难度：0.73真题：3组卷：18
846．（2013秋•镇海区期末）-13的相反数是（　　）A．13B．3 C．-13D．-3难度：0.60真题：3组卷：4
847．（2012秋•郑州期末）如图-2的相反数在数轴上表示为（　　）A．点A B．点B C．点C D．点D难度：0.90真题：2组卷：10
848．（2012秋•历下区期末）−12013的相反数是（　　）A．−12013B．12013C．2013 D．-2013难度：0.82真题：2组卷：4
849．（2013秋•乐平市校级期末）下列说法正确的是（　　）A．若两个数互为相反数，则它们的商为-1B．若两个数互为相反数，则这两个数一定是一个正数，一个负数C．一个数的绝对值一定不小于这个数D．一个正数一定大于它的倒数难度：0.71真题：2组卷：15
850．（2012秋•北碚区期末）32的相反数是（　　）A．-32 B．（-3）2 C．3-2 D．23难度：0.81真题：1组卷：7
851．（2013秋•慈溪市期末）选项中的两个数是互为相反数的是（　　）A．（-1）2与|-1| B．a与|a|（a＜0）C．1-3与12D．-3×（-3）5与（-3）6难度：0.81真题：1组卷：7
852．（2012秋•杭州期末）|−17|的相反数是（　　）A．−17B．17C．-7 D．7难度：0.80真题：1组卷：4
853．（2013秋•彭阳县期末）2013的相反数是（　　）A．-2013 B．-12013C．2013 D．12013难度：0.80真题：1组卷：0
854．（2013秋•濠江区期末）|-2014|的相反数是（　　）A．-2014 B．2014 C．12014D．−12014难度：0.80真题：1组卷：8
855．（2013秋•安岳县期末）下列各组数中，互为相反数的是（　　）A．-（-5）和-5 B．2和-12C．-|-0.31|和0.3 D．-（+6）和+（-6）难度：0.75真题：1组卷：7
856．（2013秋•宜昌期末）若a和b互为相反数，且a≠0，则下列各组中，不是互为相反数的一组是（　　）A．a3和b3 B．a2和b2 C．-a和-b D．6a与6b难度：0.71真题：1组卷：17
857．（2013秋•营山县期末）下列说法中错误的是（　　）A．0的相反数是0B．-2和+2互为相反数C．符号相反的数互为相反数D．一个数的绝对值越大，表示它的点在数轴上离原点越远难度：0.71真题：1组卷：4
858．（2013秋•中江县校级期中）-a一定是（　　）A．正数 B．负数C．正数或负数 D．正数或零或负数难度：0.81真题：15组卷：39
859．（2013春•滨江区校级期中）下列各组数中互为相反数的一组是（　　）A．-3与(−3)2B．-3与3 −27C．-3与−13D．|-3|与3难度：0.79真题：10组卷：37
860．（2013秋•西峰区校级期中）下列说法中正确的是（　　）A．正数和负数互为相反数B．任何一个数的相反数都与它本身不相同C．任何一个数都有它的相反数D．数轴上原点两旁的两个点表示的数互为相反数难度：0.74真题：10组卷：68
861．（2013秋•合肥期中）一个数是7，另一个数比它的相反数大3．则这两个数的和是（　　）A．-3 B．3 C．-10 D．11难度：0.84真题：8组卷：23
862．（2013秋•蓟县期中）下列各对数中，互为相反数的是（　　）A．+（-8）和（-8） B．-（-8）和+8 C．-（-8）和+（+8） D．+8和+（-8）难度：0.86真题：7组卷：18
863．（2013秋•滨海县校级期中）一个数的相反数大于它本身，这个数是（　　）A．正数 B．负数 C．0 D．非负数难度：0.91真题：6组卷：12
864．（2013秋•南开区期中）下列各对数中，互为相反数的是（　　）A．-（-3）与-|-3| B．|+3|与|-3| C．-（-3）与|-3| D．-（+3）与+（-3）难度：0.73真题：6组卷：35
865．（2013秋•滨湖区校级期中）a与b互为相反数，b与c互为相反数，那么（　　）A．a=c B．a=-cC．-a=c D．以上答案都不对难度：0.73真题：5组卷：60
866．（2013秋•临清市期中）下列各对数：+（-3）与-3，-2和|-2|，-（-3）与+（-3），-（+3）与+（-3），-2和-12，2和-12中，互为相反数的有（　　）A．2对 B．3对 C．4对 D．5对难度：0.71真题：5组卷：35
867．（2013秋•莱州市期中）已知a、b 互为相反数，则（　　）A．a+b=0 B．a-b=0 C．a=1bD．a-|b|=0难度：0.89真题：4组卷：11
868．（2013秋•洪山区期中）下列各组数中，互为相反数的是（　　）A．-（-2）与|-2| B．-23与（-2）3 C．+（-2）与-（+2） D．-22与（-2）2难度：0.83真题：4组卷：24
869．（2013秋•兴庆区校级期中）相反数等于它本身的数一共有（　　）个．A．0 B．1 C．2 D．3难度：0.83真题：3组卷：25
870．（2013秋•临夏州校级期中）7-a的相反数是-2，那么a是（　　）A．5 B．-3 C．2 D．1难度：0.73真题：3组卷：39
871．（2013秋•东台市校级期中）下列说法中，正确的是（　　）A．-12与2互为相反数B．任何负数都小于它的相反数C．数轴上表示-a的点一定在原点左边D．5的相反数是|-5|难度：0.73真题：3组卷：26
872．（2013秋•临沭县期中）下列说法①相反数等于它本身的数只有0；②倒数等于它本身的数只有1；③绝对值等于它本身的数只有0；④平方等于它本身的数只有1；其中错误的有（　　）A．1个 B．2个 C．3个 D．4个难度：0.71真题：3组卷：13
873．（2013秋•大城县校级期中）在1，-2，13，-1中，互为相反数的两个数是（　　）A．1与-2 B．1与-1 C．-2与13D．13与-1难度：0.82真题：2组卷：6
874．（2013秋•湘阴县校级期中）一个数比它的相反数小，则这个数一定是（　　）A．正数 B．负数 C．正数或0 D．负数或0难度：0.82真题：2组卷：9
875．（2013秋•长汀县期中）下列各对数中，互为相反数的是（　　）A．-|-2|与-（+2） B．2与-（-2） C．-22与（-2）2 D．|-2|与-（-2）难度：0.63真题：2组卷：11
876．（2013秋•滨湖区校级期中）若x的倒数是3，那么它的相反数是（　　）A．3 B．-3 C．13D．−13难度：0.92真题：1组卷：17
877．（2013秋•藁城市校级期中）-（-12）的相反数是（　　）A．12B．-12C．2 D．-2难度：0.92真题：1组卷：8
878．（2013秋•薛城区校级期中）-|-2014|的相反数是（　　）A．2014 B．-2014 C．12014D．−12014难度：0.92真题：1组卷：5
879．（2013秋•东莞市校级期中）如果a与3互为相反数，那么a等于（　　）A．3 B．-3 C．13D．−13难度：0.82真题：1组卷：15
880．（2013秋•硚口区校级期中）−211的相反数是（　　）A．211B．−211C．112D．−112难度：0.82真题：1组卷：4
881．（2013秋•万州区校级期中）下列各组数中，互为相反数的是（　　）A．2与12B．（-1）2与1 C．2与-2 D．-1与-12难度：0.82真题：1组卷：9
882．（2013秋•株洲县校级期中）下列说法正确的是（　　）A．正数和负数互为相反数B．正数的相反数是它本身C．任何一个有理数都有相反数D．数轴上原点两边的两个点表示的数互为相反数难度：0.80真题：1组卷：20
883．（2013秋•沙河市期中）-（+2.12）的相反数是（　　）A．-2.12 B．2.12 C．0 D．无法确定难度：0.80真题：1组卷：6
884．（2013秋•济南校级期中）下列各对数中互为相反数的是（　　）A．+（-5）和-（+5） B．a与-a C．π与-3.14 D．-（-2.7）与2.7难度：0.75真题：1组卷：9
885．（2013秋•西城区校级期中）下列说法中正确的是（　　）①-3和+3互为相反数；②符号不同的两个数互为相反数；③互为相反数的两个数必定一个是正数，一个是负数；④π的相反数是-3.14；⑤一个数和它的相反数不可能相等．A．0个 B．1个 C．2个 D．3个或更多难度：0.73真题：1组卷：49
886．（2013秋•泰兴市校级期中）已知a与b互为相反数，且a≠0，那么下列关系式正确的是（　　）A．ab=1 B．ba＝1 C．a+b=0 D．a-b=0难度：0.73真题：1组卷：19
887．（2013秋•兴庆区校级期中）下面各组数中，互为相反数的一组是（　　）A．-16与+0.6 B．π与-3.14 C．-|-2|与-（-2） D．（-3）3与-33难度：0.73真题：1组卷：20
888．（2013秋•越秀区校级期中）下列化简，正确的是（　　）A．-[-（-10）]=-10 B．-（-3）=-3 C．-（+5）=5 D．-[-（+8）]=-8难度：0.73真题：1组卷：25
889．（2013秋•西峰区校级期中）下列各对数互为相反数的是（　　）A．-6与-（+6） B．-（-7）与-7 C．-（+2）与+（-2） D．-1.5与+1.6难度：0.73真题：1组卷：18
890．（2013秋•太康县期中）下列说法正确的是（　　）A．若两个数互为相反数，则这两个数一定是一正一负B．若两个数互为相反数，则这两个数的商是-1C．一个正数一定大于它的倒数D．一个数的绝对值一定不小于这个数难度：0.71真题：1组卷：9
891．（2013秋•孝南区期中）下列各对数中，互为相反数的一对是（　　）A．-23与（-2）3 B．-34与（-3）4 C．（-2）3与32 D．|-4|2与（-4）2难度：0.71真题：1组卷：7
892．（2013秋•商水县期中）下列各对数：+（-3）与-3，-2和|-2|，-（-3）与+（-3），-（+3）与+（-3），-2和-38，2和-12中，互为相反数的有（　　）A．2对 B．3对 C．4对 D．5对难度：0.71真题：1组卷：11
893．（2013秋•临沭县期中）下列说法不正确的是（　　）A．互为相反数的两个数和为0B．互为相反数的两个数商为-1C．0是最小的自然数D．0是绝对值最小的有理数难度：0.66真题：1组卷：252
894．（2013秋•高安市期中）已知p与q互为相反数，且p≠0，那么下列关系式正确的是（　　）A．p•q=1 B．qp=-1 C．p+q=1 D．p-q=0难度：0.51真题：1组卷：668
895．（2013秋•汉滨区校级月考）下列说法正确的是（　　）A．-1是相反数 B．-3.3与+3互为相反数C．-23和-32互为相反数 D．-4的相反数是4难度：0.97真题：3组卷：15
896．（2013秋•张家港市校级月考）化简-（-8）的结果是（　　）A．8 B．-8 C．18D．-18难度：0.82真题：3组卷：6
897．（2013秋•青羊区校级月考）+（-5）的相反数是（　　）A．-（+5） B．-（-5） C．−(+15) D．−(−15)难度：0.93真题：2组卷：8
898．（2013秋•南康市校级月考）下列各对数中，互为相反数的有（　　）                   -1与±（-1），+（+1）与-1，-（-2）与+（-2），+[-（+1）]与-[+（-1）]，-（-12）与+（+12），-（+2）与-（-2）A．6对 B．5对 C．4对 D．3对难度：0.83真题：2组卷：7
899．（2013秋•姜堰市校级月考）下列各对数，互为相反数的一对是（　　）A．3与−13B．2与2 C．-3与3 D．3与13难度：0.82真题：2组卷：7
900．（2013秋•周口校级月考）下列各数与2的和是0的是（　　）A．2 B．-2 C．12D．-12难度：0.82真题：2组卷：5
901．（2013秋•东莞市校级月考）如果知道a与b互为相反数，那么（a+b）-3的值为（　　）A．0 B．-3 C．3 D．无法确定难度：0.73真题：2组卷：22
902．（2013秋•惠山区校级月考）在+（-2）与-2、-（+1）与+1、-（-4）与+（-4）、-（+5）与+（-5）、-（-6）与+（+6）、+（+7）与+（-7）这几对数中，互为相反数的有（　　）A．3对 B．4对 C．5对 D．6对难度：0.71真题：2组卷：22
903．（2013秋•都匀市校级月考）一个数和它的相反数相等，则这个数是（　　）A．0 B．-1 C．+1 D．±1难度：0.64真题：2组卷：17
904．（2013秋•临沭县校级月考）已知m是6的相反数，n比m的相反数小2，则m-n=（　　）A．4 B．8 C．-10 D．-2难度：0.58真题：2组卷：39
905．（2013秋•依安县校级月考）下列结论正确的有（　　）①任何数都不等于它的相反数；②符号相反的数互为相反数；③表示互为相反数的两个数的点到原点的距离相等；④若有理数a，b互为相反数，那么a+b=0；⑤若有理数a，b互为相反数，则它们一定异号．A．2个 B．3个 C．4个 D．5个难度：0.50真题：2组卷：170
906．（2013秋•元坝区校级月考）13的倒数的相反数是（　　）A．13B．-13C．3 D．-3难度：0.92真题：1组卷：3
907．（2013秋•甘井子区校级月考）下列两个数互为相反数的是（　　）A．2和-7 B．13和-0.3 C．5和-（-5） D．3.5和−312难度：0.92真题：1组卷：7
908．（2013秋•宁县校级月考）用-m表示的数一定是（　　）A．正数 B．负数C．正数或负数 D．以上结论都不对难度：0.90真题：1组卷：13
909．（2013秋•文峰区校级月考）下列各对数中，互为相反数的有（　　）①（-1）与+1；②+（+1）与-1；③-（-2）与+（-2）；④-（-13）与+（+1b）；⑤+[-（+1）]与-[+（-1）]；⑥-（+2）与-（-2）．A．6对 B．5对 C．4对 D．3对难度：0.83真题：1组卷：13
910．（2013秋•保亭县校级月考）下列各组数中，互为相反数的有（　　）①12与-12；②-（-6）与-（+6）；③-（-3）与+5；④-（-7）与+（-17）A．1组 B．2组 C．3组 D．4组难度：0.83真题：1组卷：11
911．（2013秋•东昌府区校级月考）若a的倒数是-2，则a的相反数是（　　）A．12B．2 C．-12D．-2难度：0.83真题：1组卷：4
912．（2013秋•甘井子区校级月考）下面两个数互为相反数的是（　　）A．12和0.2 B．13和-0.333 C．-2.75和234D．9和-（-9）难度：0.82真题：1组卷：6
913．（2013秋•工业园区校级月考）-10的相反数是（　　）A．-10 B．10 C．110D．±10难度：0.82真题：1组卷：5
914．（2013秋•开福区校级月考）0.5的相反数是（　　）A．-0.5 B．0.5 C．2 D．-2难度：0.82真题：1组卷：6
915．（2013秋•平山区校级月考）下列各对数中，不是相反数的是（　　）A．+（-3）与（-3） B．（-1）与|-1|C．8与-|-8| D．-5.2与-（-5.2）难度：0.80真题：1组卷：155
916．（2013秋•宜兴市校级月考）下列不是互为相反数的是（　　）A．-|-3|与+3 B．+（-3）与3 C．-（-3）与3 D．-（-3）与-3难度：0.73真题：1组卷：18
917．（2013秋•涿州市校级月考）有理数-12的相反数是（　　）A．12B．-2 C．2 D．以上都不对难度：0.73真题：1组卷：17
918．（2013秋•余杭区校级月考）下列各对数中，互为相反数的是（　　）A．-|-7|和+（-7） B．-3和-13C．23和-32D．0.2和-15难度：0.73真题：1组卷：21
919．（2013秋•白云区校级月考）在一个数的前面加上一个“-”号，就可得到（　　）A．负数 B．正数C．原数的相反数 D．非正数难度：0.73真题：1组卷：20
920．（2013秋•万州区校级月考）下列化简错误的是（　　）A．-（+2.7）=-2.7 B．-[-（-8）]=-8 C．+[-（-12）]=-12D．-[-（-4）]=-4难度：0.73真题：1组卷：25
921．（2013秋•平谷区校级月考）一个数的相反数是它本身，则这个数是（　　）A．正数 B．负数 C．0 D．负数和0难度：0.73真题：1组卷：21
922．（2013秋•临桂区校级月考）-（-2）等于（　　）A．-2 B．2 C．+（-2） D．-（+2）难度：0.73真题：1组卷：36
923．（2013秋•城东区校级月考）如果a=-3，则-a等于（　　）A．3 B．-3 C．+（-3） D．-（+3）难度：0.73真题：1组卷：19
924．（2013秋•沈丘县校级月考）下列四个数中，其相反数是负分数的是（　　）A．-7 B．-17C．5 D．15难度：0.71真题：1组卷：36
925．（2013秋•鄂尔多斯校级月考）下列各对数中，互为相反数的是（　　）A．−34与0.75 B．-5与+3 C．13与-0.3 D．12与-2难度：0.71真题：1组卷：7
926．（2013秋•淮南校级月考）下列判断不正确的有（　　）①互为相反数的两个数一定不相等；②互为相反数的数在数轴上的点一定在原点的两边；③所有的有理数都有相反数；④相反数是符号相反的两个点．A．1个 B．2个 C．3个 D．4个难度：0.68真题：1组卷：144
927．（2013秋•保亭县校级月考）化简下列各数：-（-6）和-|3.14|，结果分别是（　　）A．-6和-3.14 B．6和3.14 C．-6和+3.14 D．6和-3.14难度：0.64真题：1组卷：7
928．（2013秋•耒阳市校级月考）式子-|-3|等于（　　）A．-3 B．3 C．3 D．-3难度：0.54真题：1组卷：6
929．（2012•西宁）2的相反数是（　　）A．-2 B．2 C．2D．12难度：0.97真题：127组卷：74
930．（2012•泸州）−15的相反数是（　　）A．5 B．15C．-15D．-5难度：0.86真题：77组卷：29
931．（2012•厦门）-2的相反数是（　　）A．2 B．-2 C．±2 D．−12难度：0.99真题：49组卷：36
932．（2012•长沙）-3相反数是（　　）A．13B．-3 C．-13D．3难度：0.98真题：45组卷：28
933．（2012•北京）-9的相反数是（　　）A．-19B．19C．-9 D．9难度：0.95真题：29组卷：40
934．（2012•鞍山）6的相反数是（　　）A．-6 B．16C．±6 D．6难度：0.98真题：26组卷：34
935．（2012•日照）-5的相反数是（　　）A．-5 B．-15C．5 D．15难度：0.99真题：25组卷：35
936．（2012•云南）5的相反数是（　　）A．15B．-5 C．−15D．5难度：0.98真题：23组卷：25
937．（2012•泉州）-7的相反数是（　　）A．-7 B．7 C．-17D．17难度：0.99真题：22组卷：36
938．（2012•黔南州）计算-（-5）的结果是（　　）A．5 B．-5 C．15D．-15难度：0.94真题：20组卷：39
939．（2012•福州）3的相反数是（　　）A．-3 B．13C．3 D．-13难度：0.98真题：17组卷：27
940．（2012•张家界）-2012的相反数是（　　）A．-2012 B．2012 C．−12012D．12012难度：0.99真题：16组卷：40
941．（2012•内江）-6的相反数为（　　）A．6 B．16C．−16D．-6难度：0.99真题：16组卷：26
942．（2012•西藏）-5的相反数是（　　）A．-5 B．5 C．±5 D．−15难度：0.99真题：13组卷：23
943．（2012•随州）-2012的相反数是（　　）A．-12012B．12012C．-2012 D．2012难度：0.93真题：13组卷：20
944．（2012•阜新）-5的相反数是（　　）A．-5 B．15C．5 D．-15难度：0.98真题：12组卷：19
945．（2012•宁德）2012的相反数是（　　）A．-2012 B．2012 C．-12012D．12012难度：0.98真题：11组卷：26
946．（2012•咸宁）-8的相反数是（　　）A．-8 B．8 C．−18D．18难度：0.99真题：9组卷：23
947．（2012•鄂尔多斯）下列各组数中，互为相反数的是（　　）A．3和-3 B．-3和13C．-3和−13D．13和3难度：0.99真题：9组卷：66
948．（2012•桂林）2012的相反数是（　　）A．2012 B．-2012 C．|-2012| D．12012难度：0.99真题：6组卷：21
949．（2012•遵义）-（-2）的值是（　　）A．-2 B．2 C．±2 D．4难度：0.89真题：5组卷：31
950．（2012•杭州模拟）-2的相反数是（　　）A．-2 B．2 C．-π D．22难度：0.88真题：12组卷：4
951．（2012•宝应县模拟）|-3|的相反数是（　　）A．0 B．3 C．-3 D．±3难度：0.92真题：11组卷：5
952．（2012•三门县模拟）有理数12的相反数是（　　）A．2 B．12C．-12D．-2难度：0.82真题：11组卷：6
953．（2012•锦州模拟）2的相反数是（　　）A．12B．−12C．±12D．-2难度：0.88真题：7组卷：5
954．（2012•包河区一模）-2的倒数的相反数是（　　）A．12B．−12C．2 D．-2难度：0.91真题：6组卷：8
955．（2012•昌平区一模）15的相反数是（　　）A．-5 B．15C．5 D．−15难度：0.87真题：6组卷：5
